idsup,namasup,Kode,alamat,kota,telp,create_at,author,edit-at,edit_by
,AIWA,AW,JL PASAR BESAR WETAN NO 67,SURABAYA,0315341563,1/26/2023 15:24,Admin,,
,AKSHA SINERGI SUKSES INDUSTRI,ASSI,"JL RAYA SOLO - SEMARANG KM 34 NO 28,BOYOLALI",BOYOLALI,,1/26/2023 15:24,Admin,,
,"ALPHA GEMILANG MAKMUR, PT",AGM,JL. RAYA OTONOM CIKUPA,TANGERANG,0221-5962468,1/26/2023 15:24,Admin,,
,ANDIKA JANA BHUMI SEJAHTERA,AJBS,"JL. SEMARANG 116 D-E RT.004 RW 005, SURABAYA",SURABAYA,031-5453560,1/26/2023 15:24,Admin,,
,ANEKA DIESEL NUSANTARA,ADN,JLN GUNUNG ANYAR LOR IIIC - NO 35 SURABAYA,SURABAYA,0318784175,1/26/2023 15:24,Admin,,
,ANEKA JASUMA,AJ,,SURABAYA,,1/26/2023 15:24,Admin,,
,"ANEKA RUPA TERA, PT",ART,"BERBEK INDUSTRI III/1, BERBEK, SIDOARJO",SIDOARJO,031-8436688,1/26/2023 15:24,Admin,,
,APOLLO AC,AAC,,,,1/26/2023 15:24,Admin,,
,ARISTOTELES CHANDRA,ARI,,,,1/26/2023 15:24,Admin,,
,"ASHIMORI INDUSTRY CO., LTD.",AK,"3-10-18, KITAHORIE, NISHI-KU OSAKA, 550-0014, JAPAN",,,1/26/2023 15:24,Admin,,
,"ASHIMORI KOREA CO., LTD",AKC,"(SINPYEONG-RI) 134, DOWON-RO, JIJEONG-MYEON, WONJU-SI,GANGWON-DO, 26351, KOREA",KOREA,82-33-742-6623,1/26/2023 15:24,Admin,,
,"ASIANET SPRING INDONESIA, PT",ASI,"JL. INDUSTRI UTAMA I BLOK RR 3 D-E KAW. INDST JBBK-NO CIKARANG, BEKASI",BEKASI,02189833250,1/26/2023 15:24,Admin,,
,"ASTRA INTERNATIONAL UD TRUCKS, PT",AI,JL ROMOKALISARI NO 37,SURABAYA,,1/26/2023 15:24,Admin,,
,ASURANSI WAHANA TATA,ASWATA,JL. TUNJUNGAN NO. 43,SURABAYA,031-5320811,1/26/2023 15:24,Admin,,
,AUREA JAYA,ARJ,JL. TAMAN PINANG INDAH BLOK D2 NO 30,SIDOARJO,,1/26/2023 15:24,Admin,,
,AUTO SUKSES PERKASA,ASP,JL. RAYA PRANCIS NO 2 KOMPLEK PERGUDANGAN PANTAI INDAH DADAP BLOK LB NO 8;,TANGERANG,,1/26/2023 15:24,Admin,,
,AUTOLIV KOREA WONJU PLANT,AKWP,,KOREA,,1/26/2023 15:24,Admin,,
,AUTOLIV KOREA WONJU PLANT,AUTOLIV,"5-30,BANGYE-RI,MUNMAK-EUP,WONJU-CITY,KANGWON-DO,220-800,KOREA",,82-33-730-2205,1/26/2023 15:24,Admin,,
,"B&T(ZHANGZHOU) CABLE CO.,LTD",BTC,"ZHANGZHOU, FUJIAN",CHINA,0086-592-2205819,1/26/2023 15:24,Admin,,
,BARCODE ONE SOLUTION,ITC,I-TECH CITY SURABAYA LT 2 NO L3 NO 6,SURABAYA,-,1/26/2023 15:24,Admin,,
,BCA FINANCE,BCA,,,,1/26/2023 15:24,Admin,,
,"BEKASI MANTRA INDUSTRIAL ESTATE, PT",BMI,"JL. SUMATERA BLOK C2, GANDASARI - CIKARANG BARAT",BEKASI,021-89801333,1/26/2023 15:24,Admin,,
,BENGKEL PUTRA ANDALAN,BPA,"DSN. GLINTUNG RT2 RW4, KEPATIHAN, MENGANTI, GRESIK",GRESIK,,1/26/2023 15:24,Admin,,
,BESA SEKAR GUNA,BSG,JL. DHARMAHUSADA 160 BLOK C & F,SURABAYA,,1/26/2023 15:24,Admin,,
,"BETARA TIRTA, PT",BT,PERAK TIMUR NO. 24 RT03/RW05,SURABAYA,031-3530935,1/26/2023 15:24,Admin,,
,BROTHERSINDO SAUDARA SEJATI,BS,JL. MANGGA DUA RAYA BLOK H NO 5B,JAKARTA,0216121715,1/26/2023 15:24,Admin,,
,BUANA TECHNIC SENTOSA,BTS,"Jl. Gunung Anyar Jaya I No.A no.24, Gn. Anyar, Kec. Gn. Anyar, Kota SBY, Jawa Timur 60294",SURABAYA,(031) 99920971,1/26/2023 15:24,Admin,,
,CAHAYA TERANG,CT,"Alamat: Jl. Raden Saleh No.61B, Bubutan, Kec. Bubutan, Kota SBY, Jawa Timur 60174",SURABAYA,(031) 5473242,1/26/2023 15:24,Admin,,
,CALTESYS INDONESIA,CI,JL RAYA JEMURSARI 103C,SURABAYA,,1/26/2023 15:24,Admin,,
,CANATEX INDUSTRIAL CO.LTD,CNTX,,TAIWAN,886-6-2705696,1/26/2023 15:24,Admin,,
,CASA TERRA MANDIRI INDONESIA,CTM,JLN RAYA SUKOMANUNGGAL JAYA 76,SURABAYA,031 99141069/169,1/26/2023 15:24,Admin,,
,CASH,CASH,,,,1/26/2023 15:24,Admin,,
,"CENTRAL SEEDS IN KOREA CO.,LTD",CSI,"GOLDEN BILL 924, 724 GOJAN-DONG, DAN WON-GU, ANSAN-SI, KYUNGKI-DO, KOREA",,82-31-501-2856,1/26/2023 15:24,Admin,,
,CV. TIGA PILAR MAS,TPM,PASEGAN ASRI G5B NO. 7 SUKODONO-SIDOARJO 61258,SIDOARJO,,1/26/2023 15:24,Admin,,
,DAI SABISU INDONESIA,DSI,JLN RAYA CITARIK KP KOBAK BITUNG DESA SERTA JAYA,,,1/26/2023 15:24,Admin,,
,DELPHI KOREA CORPORATION,DKC,,,,1/26/2023 15:24,Admin,,
,DHARMA ELECTRINDO MANUFACTURING,DEM,"JL. JABABEKA XII BLOK W NO 5A,BEKASI",BEKASI,021-89840418,1/26/2023 15:24,Admin,,
,DHARMA POLIMETAL,DPM,JL. ANGSANA RAYA BLOK A9 NO 8 KAWASAN LIPO CIKARANG,BEKASI - JAWA BARAT,0218974559,1/26/2023 15:24,Admin,,
,DONGGUAN YIHUI OPTOELECTRONICS TECHNOLOGY,DYOT,DONGGUAN CITY,GUANGDONG,+8676933360095,1/26/2023 15:24,Admin,,
,DUNIA BAN,DB,JL. KEDUNGSARI 95,SURABAYA,,1/26/2023 15:24,Admin,,
,DUTA NOVA INDOPERKASA,DNI,i gusti ngurah rai a2-2 ruko purimas gunung anyar surabaya,SURABAYA,085288148833,1/26/2023 15:24,Admin,,
,ELTRA ABADI,EA,,SURABAYA,,1/26/2023 15:24,Admin,,
,ELTRA JAYA,EJ,PS. GENTENG BARU LT III BLOK X - 1,SURABAYA,,1/26/2023 15:24,Admin,,
,ENAM JAYA,ENJ,,SURABAYA,,1/26/2023 15:24,Admin,,
,EPWIN PRINTER,EP,,,,1/26/2023 15:24,Admin,,
,EWINDO,EWD,JL. CIMUNCANG N0. 68,BANDUNG,(62-22) 7208008,1/26/2023 15:24,Admin,,
,"FUJI SEAT INDONESIA, PT",FS,"GUDANG SUNTER PODOMORO, JL. AGUNG PERKASA IX BLOK K I NO. 9-15",JAKARTA UTARA,,1/26/2023 15:24,Admin,,
,FUJIAN TIANCHENG HOLDINGS KNITWEAR AND HOME,I,TEXTILES IMP AND EXP CORP.LTD,"FUZHOU, CHINA",,1/26/2023 15:24,Admin,,
,FURNIWEB-VOA SAFETY WEBBING,FUR,"LOT 1883, JALAN KPB 9,KG. BHARU BALAKONG, 43300 SERI KEMBANGAN , SELANGOR, DARUL EHSAN,MALAYSIA",,007-60-3-89612278,1/26/2023 15:24,Admin,,
,"GARUDA METALINDO, PT",GM,JL. RAYA KAPUK KAMAL RT. 002.RW.02 KAMAL MUARA PENJARINGAN JAKARTA UTARA DKI JAKARTA 14470,JAKARTA,021-5553963,1/26/2023 15:24,Admin,,
,GUNA PARIWARA,GPW,"Alamat: WISMA TROPODO JL. MUSI FU-7, Tropodo Kulon, Tropodo, Kec. Waru, Kabupaten Sidoarjo, Jawa Timur 61256  Hours:   Open · Closes 5PM  Telepon: 0811-344-403",SIDOARJO,0811-344-403,1/26/2023 15:24,Admin,,
,HIGHPOINT,HP,,,,1/26/2023 15:24,Admin,,
,HITACHI,HTC,"JL. ASIA AFRIKA, NO 8, GELORA BUNG KARNO-SENAYAN",JAKARTA PUSAT,6221-29039250,1/26/2023 15:24,Admin,,
,ICLOTHES,ICL,-,-,-,1/26/2023 15:24,Admin,,
,"INDO KOMPRESIGMA, PT",IKS,GEDUNG KAWAN LAMA LT 3  JLN RAYA JUANDA KM 4.5  SIDOARJO 61253 - INDONESIA,SIDOARJO,031.8.666.260,1/26/2023 15:24,Admin,,
,INDONESIA POWER SPRING,IPS,KAWASAN INDUSTRI JABABEKA 6 BLOK D3C JATIREJA,"CIKARANG TIMUR, BEKASI",021-29605411,1/26/2023 15:24,Admin,,
,INDOSARANA LOKAPRATAMA,ISLP,JLN INDUSTRI RAYA IV BLOK AG NO 10 BUNDER - CIKUPA TANGERANG 15710 - INDONESIA,TANGERANG,6221-5902129,1/26/2023 15:24,Admin,,
,INDRAGRAHA NUSAPLASINDO,IG,JL. KH. MOHAMMAD MANSYUR NO 24,JAKARTA,,1/26/2023 15:24,Admin,,
,INDUSTRIAL MULTI FAN,IMF,"Alamat: Jl. Raden Saleh Surabaya, Bubutan, Kec. Bubutan, Kota SBY, Jawa Timur 60174",SURABAYA,0315483190,1/26/2023 15:24,Admin,,
,"INTERGLOBAL ELECTRIC PARTS, PT",IEP,"JL. MAYJEN SUNGKONO NO.8, GRESIK",GRESIK,,1/26/2023 15:24,Admin,,
,"J&K KOREA CO., LTD.",J&K,"3203, 54, SURIMRO 85BEON-GIL, GEUMJEONG-GU, BUSAN",KOREA,82-51-514-4082,1/26/2023 15:24,Admin,,
,JASAINDO,JI,,,,1/26/2023 15:24,Admin,,
,JATIM TRONIK,JT,JL. RAYA MERAK NO. 53 REWWIN WARU,SIDOARJO,031 8553131,1/26/2023 15:24,Admin,,
,JAVA FORINDO TEKNIK,JFT,"JL. HAJI SYUKUR VII GANG GARUDA C 10, SEDATI",SIDOARJO,,1/26/2023 15:24,Admin,,
,JAYA LABEL,JL,,,,1/26/2023 15:24,Admin,,
,JIANGSU BOZHIWANG AUTOMATION EQUIPMENT,JBAE,"NO.39. KUNLUN RD.,XINBEI DISTRICT, CHANGZHOU, JIANGSU",CHINA,0086-519-8521,1/26/2023 15:24,Admin,,
,JK KOREA CORPORATION,JK,"2F,BONGWHA BLDG.,455-5,DANKE-DONG, WONJU-CITY, KANGWON-DO, KOREA",,82-33-735-1118,1/26/2023 15:24,Admin,,
,JUKI SINGAPORE PTE LTD,JUK,20 BENDEMEER ROAD #04-12 BS BENDEMEER CENTER,SINGAPORE,+6565534388,1/26/2023 15:24,Admin,,
,K MAC TRADING INDONESIA,SKPP,JL. JEND. SUDIRMAN KAV 3,JAKARTA,,1/26/2023 15:24,Admin,,
,K MAC TRADING INDONESIA,KTI,JL. JEND. SUDIRMAN KAV 32,JAKARTA PUSAT,021-57950338,1/26/2023 15:24,Admin,,
,"KATSUYAMA FINETECH INDONESIA, PT",KFI,"KAW.GIIC BLOK AD NO. 01, KOTA DELTAMAS BEKASI",BEKASI,021-50555688,1/26/2023 15:24,Admin,,
,KENCANA MAJU BERSAMA,KMB,JLN BY PASS MOJOKERTO KM 54 JAMPIROGO  SOOKO MOJOKERTO,MOJOKERTO,0321.321250,1/26/2023 15:24,Admin,,
,KERNLIEBERS,KERN,,,,1/26/2023 15:24,Admin,,
,"KIKUCHI NARROW FABRIC CO.LTD,",KKC,"60 MOO 9 ROJANA ROAD, THANU, UTHAI, PHRANAKHON SRI AYUTHAYA 13210 THAILAND",,66 (0)35-226-263-5,1/26/2023 15:24,Admin,,
,KOBELINDO,KBL,JLN RUNGKUT INDUSTRI II NO 9,SURABAYA,-,1/26/2023 15:24,Admin,,
,"KOKO METAL INDUSTRIES, PT",KMI,"JL. RAYA SAWOCANGKRING NO.9, SAWOCANGKRING,SIDOARJO",SIDOARJO,031-8830107,1/26/2023 15:24,Admin,,
,"KOMPINDO WIRATAMA, PT",KW,JL. MAYJEN SUNGKONO GG XVI/8A GRESIK,GRESIK,3990508-9,1/26/2023 15:24,Admin,,
,LANGGENG JAYA MEGABOX,LJM,"Jln Kepatihan Industri Gempol Kurung, Menganti Gresik Jawa Timur.",GRESIK,081.703.775.852,1/26/2023 15:24,Admin,,
,LANGGENG MULTI USAHA,LMU,JL. SUKARJO WIRYOPRANOTO 24,JAKARTA PUSAT,021-8935807,1/26/2023 15:24,Admin,,
,LAUTAN KENCANA HIDUP,LKH,"JL. KYAI CARINGIN 22, JAKARTA",JAKARTA,0213452477,1/26/2023 15:24,Admin,,
,LOKAL,LKL,,,,1/26/2023 15:24,Admin,,
,LOTUS,LOTUS,JL. MANYAR SAMBONGAN 97 SURABAYA,,,1/26/2023 15:24,Admin,,
,LOTUS,LTS,JL. MANYAR SAMBONGAN 97 SURABAYA,SURABAYA,,1/26/2023 15:24,Admin,,
,MANDIRI LABEL,ML,"JL. NANGKA II NO 95, SIDOARJO",SIDOARJO,,1/26/2023 15:24,Admin,,
,MANDIRI TRANSFORMA GLOBAL,MTG,JL TIRTA RAYA I NO 16 WARU,SIDOARJO,0318556020,1/26/2023 15:24,Admin,,
,MARSUFEB GODONG JATI,MGJ,JL. CIMANDIRI 2D NO 11 CIKARANG TIMUR,BEKASI,,1/26/2023 15:24,Admin,,
,MEDIAFORMINDO PRATAMA,MFP,"JL PRAPEN RAYA NO 12, JAKARTA",JAKARTA,,1/26/2023 15:24,Admin,,
,MEGA CAHAYA ELEKTRINDO,MCE,JALAN MANYAR TIRTOMOYO 3/19.,SURABAYA,,1/26/2023 15:24,Admin,,
,"MEGAH NUSANTARA PERKASA, PT",MNP,"JL. BINTANG MAS NO. 8 RT 004 RW 003, BOGOR",BOGOR,021-8754815,1/26/2023 15:24,Admin,,
,MEGAH PERTAMA INDAH,MPI,,,,1/26/2023 15:24,Admin,,
,MEKARSARI,MS,DS CERME,GRESIK,0317990339,1/26/2023 15:24,Admin,,
,METRO STAR COMPUTER,MSC,"MANYAR JAYA XIII/166-A, MENUR PUMPUNGAN, SURABAYA",SURABAYA,,1/26/2023 15:24,Admin,,
,MITRA SARUTA,MTS,,SURABAYA,,1/26/2023 15:24,Admin,,
,MULTIGUNA USAHA BERSAMA,MUB,JL KEAHLIAN RT 005/RW 005 NO 1 RUKO PERKANTORAN KEL. JATICEMPAKA KEC. PONDOK GEDE,BEKASI,021-84983814,1/26/2023 15:24,Admin,,
,NACHINDO TAPE INDUSTRY,NCH,DESA BETRO,SIDOARJO,,1/26/2023 15:24,Admin,,
,"NAGA PACIFIC, PT",NP,JL. KH. ZAINUL ARIFIN NO 1D JAKARTA,JAKARTA,,1/26/2023 15:24,Admin,,
,NEWGEN,NG,,SURABAYA,,1/26/2023 15:24,Admin,,
,NIAGARA GARMENT,NGR,JLN KAPASAN NO 154,SURABAYA,-,1/26/2023 15:24,Admin,,
,OTHERS,OTH,,,,1/26/2023 15:24,Admin,,
,PERDAMAIAN,PD,,SURABAYA,,1/26/2023 15:24,Admin,,
,PERFORMA OPTIMA KOMPUTINDO,POK,GRAHA SMART CITY JLN SIDOSERMO AIRDAS A9 SURABAYA,SURABAYA,031-333-333-55,1/26/2023 15:24,Admin,,
,PREMIER,PR,JL. KENJERAN NO 469,SURABAYA,0313814969,1/26/2023 15:24,Admin,,
,PRIME FORKLIFT SERVICES,PFS,RUKO PLAZA KOZAMBI NO 18F,KARAWANG,,1/26/2023 15:24,Admin,,
,PT. CELLCIUS INDOPERKASA,CIP,RUKO RUNGKUT MEGAH RAYA M 37-39; JL. RAYA KALIRUNGKUT 1 - 3 SURABAYA,SURABAYA,0318710829,1/26/2023 15:24,Admin,,
,PT. KAWAN LAMA SEJAHTERA,UM,"JL. PURI KENCANA NO. 1, KEMBANGAN SELATAN, JAKARTA BARAT",JAKARTA,,1/26/2023 15:24,Admin,,
,PT. MAHA JAYA PLASTINDO INDONESIA,MP,"KOMP SALEMBARAN I NO.38 RT 004 RW 003, SALEMBARAN JATI, KAB.TANGGERANG",TANGERANG,,1/26/2023 15:24,Admin,,
,PT. SURABAYA PLASTIK SEJAHTERA,SPH,"Jl. Raya Bambe No.18, Sarirejo, Bambe, Kec. Driyorejo, Kabupaten Gresik, Jawa Timur 61177",GRESIK,62-031-7508561,1/26/2023 15:24,Admin,,
,PUTRA MAKMUR ABADI,PMA,"JL JABABEKA XVII B, BLOK U7B CIKARANG",BEKASI,,1/26/2023 15:24,Admin,,
,PUTRI JAYA,PJ,,,,1/26/2023 15:24,Admin,,
,"QINGDAO HUITONG LABEL TAG CO.,LTD",QHLT,"NO. 51 HENGSHAN ROAD, JIMO, QINGDAO CITY, SHANDONG PROVINCE",CHINA,,1/26/2023 15:24,Admin,,
,"RAFA PRIMAJAYA, PT",RPJ,JL. SAUNG RANGGON RT002/001 DS.CIKEDOKAN CIKARANG BARAT,BEKASI,,1/26/2023 15:24,Admin,,
